title,console,genre,critic_score,total_sales
RED DEAD REDEMPTION: UNDEAD NIGHTMARE,PS3,Action,10,1.18
CALL OF DUTY 4: MODERN WARFARE,PC,Shooter,9.3,1.15
SHADOW OF THE COLOSSUS,PS2,Adventure,9.1,1.14
TOM CLANCY'S SPLINTER CELL: CHAOS THEORY,XB,Action,9.4,1.11
RED DEAD REDEMPTION: UNDEAD NIGHTMARE,X360,Action,10,1.11
NFL 2K1,DC,Sports,9.6,1.09
GRAND THEFT AUTO: CHINATOWN WARS,PSP,Adventure,9.2,1.08
FORZA MOTORSPORT,XB,Racing,9.2,1.05
ROCKSMITH 2014,PS3,Music,9.1,1.05
WIPEOUT PURE,PSP,Racing,9.1,1.04
GRAND THEFT AUTO: SAN ANDREAS,PC,Action,9.4,0.97
MONSTER HUNTER: WORLD,XOne,Action,9.4,0.93
XENOBLADE CHRONICLES,Wii,Role-Playing,9.3,0.92
OVERWATCH,PC,Shooter,9.5,0.92
FINAL FANTASY X / X-2 HD REMASTER,PS4,Role-Playing,9.3,0.9
ROCK BAND 3,X360,Misc,9.4,0.88
VAGRANT STORY,PS,Role-Playing,9.3,0.87
GRAND THEFT AUTO IV,PC,Action,9.2,0.87
TONY HAWK'S PRO SKATER 3,GC,Sports,9.1,0.82
THE WALKING DEAD: A TELLTALE GAMES SERIES,PS3,Adventure,9.7,0.82
BATTLEFIELD 1,PC,Shooter,9.1,0.77
CONKER'S BAD FUR DAY,N64,Platform,9.2,0.77
BLAST CORPS,N64,Action,9.1,0.71
DIRT 3,X360,Racing,9.1,0.71
TIMESPLITTERS 2,PS2,Shooter,9.1,0.7
ADVANCE WARS,GBA,Strategy,9.4,0.7
MADDEN NFL 2005,GC,Sports,9.2,0.7
RAYMAN LEGENDS,WiiU,Platform,9.5,0.68
MASS EFFECT,PC,Role-Playing,9.1,0.67
NHL 10,X360,Sports,9.1,0.66
ROCK BAND 3,Wii,Misc,9.2,0.64
VIEWTIFUL JOE,GC,Action,9.4,0.62
BEETLE ADVENTURE RACING!,N64,Racing,9.2,0.62
XCOM: ENEMY UNKNOWN,PS3,Strategy,9.1,0.59
TONY HAWK'S PRO SKATER 4,GC,Sports,9.2,0.58
INTERNATIONAL SUPERSTAR SOCCER '98,N64,Sports,9.1,0.58
ROCK BAND 3,PS3,Misc,9.2,0.57
NHL 10,PS3,Sports,9.1,0.57
METROID: SAMUS RETURNS,3DS,Action-Adventure,9.1,0.56
METAL GEAR SOLID 3: SUBSISTENCE,PS2,Action,9.4,0.55
FINAL FANTASY CHRONICLES,PS,Role-Playing,9.2,0.52
METAL GEAR SOLID HD COLLECTION,PS3,Action,9.1,0.52
MADDEN NFL 2004,GC,Sports,9.2,0.51
DRAGON AGE: ORIGINS,PC,Role-Playing,9.1,0.5
FIFA SOCCER 12,PC,Sports,9.1,0.46
MADDEN NFL 2003,GC,Sports,9.1,0.43
NIGHTS INTO DREAMS...,SAT,Platform,9.1,0.43
OGRE BATTLE 64: PERSON OF LORDLY CALIBER,N64,Role-Playing,9.1,0.41
ROCKET LEAGUE,NS,Sports,9.2,0.4
MASS EFFECT 2,PC,Role-Playing,9.6,0.39
SSX 3,GC,Sports,9.5,0.38
METAL GEAR SOLID HD COLLECTION,X360,Action,9.2,0.38
KLONOA 2: LUNATEA'S VEIL,PS2,Platform,9.4,0.33
FINAL FANTASY VI ADVANCE,GBA,Role-Playing,9.1,0.28
MASS EFFECT 3,WiiU,Role-Playing,9.2,0.28
VIRTUA FIGHTER 5 ONLINE,X360,Fighting,9.2,0.28
THE ELDER SCROLLS IV: OBLIVION,PC,Role-Playing,9.2,0.25
SID MEIER'S CIVILIZATION VI,NS,Strategy,9.4,0.25
DIRT 4,XOne,Racing,9.2,0.23
ALL-STAR BASEBALL 2001,N64,Sports,9.2,0.23
NCAA FOOTBALL 2003,GC,Sports,9.2,0.21
PROJECT CARS 2,XOne,Racing,9.2,0.2
THE ORANGE BOX,PC,Shooter,9.7,0.14
SOUTH PARK: THE FRACTURED BUT WHOLE,NS,Role-Playing,9.5,0.14
TOM CLANCY'S SPLINTER CELL: BLACKLIST,WiiU,Action-Adventure,9.2,0.13
STREET FIGHTER IV,PC,Fighting,9.1,0.13
ROCKET LEAGUE,PC,Sports,9.2,0.12
DEAD CELLS,NS,Action,9.3,0.11
PANZER DRAGOON SAGA,SAT,Role-Playing,9.1,0.11
NINJA GAIDEN BLACK,XB,Action,9.5,0.09
SKIES OF ARCADIA,DC,Role-Playing,9.2,0.09
HENRY HATSWORTH IN THE PUZZLING ADVENTURE,DS,Puzzle,9.1,0.09
WIPEOUT HD FURY,PS3,Racing,9.1,0.07
COMPANY OF HEROES,PC,Strategy,9.4,0.04
YOU DON'T KNOW JACK,PC,Misc,9.2,0.04
MAFIA,PC,Action,9.2,0.04
MAX PAYNE 2: THE FALL OF MAX PAYNE,PC,Shooter,9.1,0.03
WORLD IN CONFLICT,PC,Strategy,9.1,0.03
NBA 2K13,PC,Sports,9.1,0.03
SOULCALIBUR II(JP SALES),XB,Fighting,9.3,0.03
MAX PAYNE,PC,Shooter,9.2,0.02
UNREAL TOURNAMENT 2004,PC,Shooter,9.4,0.02
GRAND THEFT AUTO III,PC,Action,9.1,0.01
DIRT 4,PC,Racing,9.2,0.01
DEUS EX,PC,Shooter,9.2,0.01
UNDERTALE,PS4,Role-Playing,9.7,0.01
RESIDENT EVIL 5: GOLD EDITION,X360,Action,9.3,0
FREEDOM FORCE,PC,Role-Playing,9.1,0
GONE HOME,PC,Adventure,9.1,0
TEAM FORTRESS 2,PC,Shooter,9.2,0
MEDAL OF HONOR: ALLIED ASSAULT,PC,Shooter,9.3,0
RESIDENT EVIL 5: GOLD EDITION,PS3,Action,9.1,0
SID MEIER'S CIVILIZATION II,PC,Strategy,9.1,0
RAYMAN 2: THE GREAT ESCAPE,PC,Platform,9.1,0
LITTLEBIGPLANET: GAME OF THE YEAR EDITION,PS3,Platform,9.5,0
FALLOUT 2,PC,Role-Playing,9.2,0
